id;account;jhi_from;object;corps;date;still_on_server
1;39041099;payment functionalities;Outdoors Quality-focused index;moderator Fantastic sensor;2021-05-02T06:46:59;true
2;35237395;sensor;Fantastic green Total;b;2021-05-02T08:18:35;false
3;98442745;Picardie Plastic strategize;a Salad;Bedfordshire uniform;2021-05-02T07:17:42;true
4;03741776;hacking;cross-media Rustic;Checking Belize white;2021-05-02T07:13:39;true
5;55405234;markets a;Serbie Litas;budgetary multi-state;2021-05-01T20:50:13;false
6;05424618;SMS white Sausages;indexing quantify hybrid;Ouganda Administrateur 1080p;2021-05-01T13:28:15;false
7;63732772;Auvergne support;Haute-Normandie model driver;a c;2021-05-01T16:41:49;true
8;00684349;Computers d'Abbeville Bhoutan;cross-platform a clicks-and-mortar;Industrial;2021-05-01T22:43:51;true
9;39038003;violet Pizza;Games help-desk gold;b Cotton;2021-05-01T23:11:12;true
10;81638430;Generic Indian;Berkshire Metal granular;Languedoc-Roussillon Auto;2021-05-02T03:06:15;false
